Date,Time,CPA,Width,Speed_km_s,KineticEnergy_J
2001/10/22,15:06:05,Halo,360,1336,1.1e+16*
2001/10/25,15:26:05,Halo,360,1092,4.2e+15*
2001/11/01,22:30:05,Halo,360,453,3.3e+15*
2001/11/03,19:20:05,Halo,360,457,2.3e+15*
2001/11/04,16:35:06,Halo,360,1810,1.7e+16*
2001/11/17,05:30:06,Halo,360,1379,1.3e+16*
2001/11/18,21:30:08,Halo,360,888,7.8e+15*
2001/11/21,14:06:05,Halo,360,518,4.2e+15*
2001/11/22,20:30:33,Halo,360,1443,1.2e+16*
2001/11/22,23:30:05,Halo,360,1437,1.8e+16*
2001/11/28,17:30:06,Halo,360,500,3.5e+15*
2001/12/13,14:54:06,Halo,360,864,8.1e+15*
2001/12/14,09:06:06,Halo,360,1506,1.5e+16*
2001/12/25,11:30:05,Halo,360,1773,1.6e+16*
2001/12/28,20:30:05,Halo,360,2216,2.9e+16*
2001/12/30,23:30:05,Halo,360,457,5.0e+15*
2002/01/01,18:30:33,Halo,360,900,1.9e+16*
2002/01/04,09:30:05,Halo,360,896,1.4e+16*
2002/01/08,17:54:05,Halo,360,1794,2.2e+16*
2002/01/14,05:35:07,Halo,360,1492,3.4e+16*
2002/01/27,12:30:05,Halo,360,1136,1.9e+16*
2002/02/16,06:30:05,Halo,360,1209,8.9e+15*
2002/02/20,06:30:05,Halo,360,952,2.1e+15*
2002/03/10,23:06:55,Halo,360,1429,1.9e+16*
2002/03/11,23:30:05,Halo,360,950,2.1e+16*
2002/03/14,17:06:06,Halo,360,907,1.8e+15*
2002/03/15,23:06:06,Halo,360,957,1.8e+16*
2002/03/18,02:54:06,Halo,360,989,3.5e+16*
2002/03/20,17:54:05,Halo,360,603,3.2e+15*
2002/03/22,11:06:05,Halo,360,1750,1.1e+16*
2002/04/15,03:50:05,Halo,360,720,1.9e+15*
2002/04/17,08:26:05,Halo,360,1240,1.1e+16*
2002/04/21,01:27:20,Halo,360,2393,9.4e+16*
2002/05/06,13:50:05,Halo,360,627,3.3e+15*
2002/05/07,04:06:05,Halo,360,720,5.7e+14*
2002/05/08,13:50:05,Halo,360,614,5.8e+14*
2002/05/16,00:50:05,Halo,360,600,4.2e+15*
2002/05/22,03:50:05,Halo,360,1557,2.7e+15*
2002/05/28,16:26:05,Halo,360,1244,8.8e+15*
2002/07/09,19:31:48,Halo,360,1076,1.4e+16*
2002/07/15,20:30:05,Halo,360,1151,1.6e+16*
2002/07/16,16:02:58,Halo,360,1636,2.5e+16*
2002/07/18,08:06:08,Halo,360,1099,2.5e+15*
2002/07/18,19:31:47,Halo,360,2191,2.1e+16*
2002/07/19,16:30:05,Halo,360,2047,1.5e+16*
2002/07/20,22:06:09,Halo,360,1941,1.3e+16*
2002/07/23,00:42:05,Halo,360,2285,8.1e+15*
2002/07/26,22:06:10,Halo,360,818,1.0e+16*
2002/08/08,20:06:34,Halo,360,401,6.5e+14*
2002/08/16,12:30:05,Halo,360,1585,1.8e+16*
2002/08/22,02:06:06,Halo,360,998,3.0e+16*
2002/08/24,01:27:19,Halo,360,1913,5.0e+16*
2002/09/05,16:54:06,Halo,360,1748,2.6e+15*
2002/09/06,13:31:49,Halo,360,909,1.8e+16*
2002/10/14,14:54:05,Halo,360,1694,1.7e+16*
2002/10/18,18:54:05,Halo,360,640,3.3e+15*
2002/10/25,10:06:05,Halo,360,629,5.4e+15*
2002/10/25,15:06:05,Halo,360,870,1.0e+15*
